     k         norm x 
     0     1.000000 (  0.47555,   0.38167,   0.38934,   0.96736,   0.32379,   0.11026,  0.021703,   0.54119,   0.30928,  0.067333, -0.043846,   0.38712,   0.56899,   0.38742,   0.29079,   0.64503)
     1     0.246387 (0.65192, 0.55067, 0.67885,   1.175, 0.47276, 0.21201, 0.24385, 0.74542, 0.50561, 0.22775, 0.22127, 0.66572, 0.71493,  0.5367, 0.55565, 0.78089)
     2     0.178129 (0.73141, 0.66835, 0.81573,  1.2603, 0.56716, 0.36067, 0.43258, 0.88357, 0.60579, 0.39356, 0.44577, 0.79035,  0.7773, 0.65996, 0.67656, 0.84228)
     3     0.110261 (0.78443, 0.75299, 0.90539,  1.3173, 0.64262, 0.48933, 0.57782, 0.96528,  0.6817, 0.53164, 0.57799, 0.85917, 0.82709, 0.73716, 0.74425, 0.87641)
     4     0.075508 (0.82446, 0.81758, 0.97209,  1.3544, 0.70377,  0.5916, 0.67354,  1.0157, 0.74396, 0.62512, 0.65942, 0.90067, 0.86195, 0.78617,  0.7854, 0.89707)
     5     0.052287 (0.85589, 0.86768,  1.0178,  1.3784, 0.75276, 0.66367, 0.73595,  1.0477, 0.78829, 0.68684, 0.71111, 0.92675, 0.88529, 0.81771, 0.81137, 0.91008)
     6     0.034982 (0.88066, 0.90332,  1.0483,   1.394, 0.78806, 0.71244, 0.77669,  1.0683, 0.81838, 0.72736, 0.74444, 0.94349,  0.9007, 0.83819, 0.82808, 0.91844)
     7     0.023085 ( 0.8984, 0.92758,  1.0685,  1.4042,  0.8122, 0.74485, 0.80332,  1.0817,  0.8384, 0.75392,  0.7661, 0.95434, 0.91082, 0.85154, 0.83892, 0.92387)
     8     0.015149 ( 0.9105, 0.94375,  1.0817,  1.4109, 0.82834, 0.76623, 0.82074,  1.0904,  0.8516, 0.77131, 0.78022, 0.96141, 0.91746, 0.86026, 0.84599,  0.9274)
     9     0.009919 (0.91857, 0.95442,  1.0904,  1.4152,   0.839, 0.78026, 0.83214,  1.0961, 0.86028,  0.7827, 0.78945, 0.96603, 0.92181, 0.86596,  0.8506, 0.92971)
    10     0.006490 (0.92391, 0.96144,  1.0961,  1.4181, 0.84601, 0.78947, 0.83959,  1.0998, 0.86597, 0.79016, 0.79549, 0.96905, 0.92465, 0.86969, 0.85362, 0.93122)
    11     0.004245 (0.92741, 0.96604,  1.0998,  1.4199, 0.85061,  0.7955, 0.84447,  1.1023, 0.86969, 0.79504, 0.79944, 0.97102, 0.92652, 0.87213,  0.8556, 0.93221)
    12     0.002777 (0.92971, 0.96905,  1.1023,  1.4212, 0.85362, 0.79944, 0.84767,  1.1039, 0.87213, 0.79823, 0.80203, 0.97232, 0.92774, 0.87373, 0.85689, 0.93285)
    13     0.001817 (0.93122, 0.97102,  1.1039,   1.422,  0.8556, 0.80203, 0.84976,  1.1049, 0.87373, 0.80032, 0.80372, 0.97316, 0.92854, 0.87477, 0.85774, 0.93328)
    14     0.001189 (0.93221, 0.97232,  1.1049,  1.4225, 0.85689, 0.80372, 0.85113,  1.1056, 0.87477, 0.80169, 0.80482, 0.97371, 0.92906, 0.87546, 0.85829, 0.93355)
